Campaign,Month,Week,Search keyword,Search term,Currency code,Impr.,Clicks,Cost,Conv. value,Conversions,Conv. value / cost,Cost / conv.,Value / conv.
SS - DNA Testing A,Mar-23,20/03/2023,dna medical testing for medications,medicine genetic testing,USD,1,1,1.76,0,0,0, --, --
SS - Pharmacogenetic,Apr-23,24/04/2023,pharmacogenomics testing,drug compatibility test,USD,2,2,3.72,0,0,0, --, --
SS - DNA Testing A,Feb-23,20/02/2023,dna testing for psychiatric drugs,gene psych testing,USD,9,2,15.16,0,0,0, --, --
SS - DNA Testing A,Jan-23,9/01/2023,dna test antidepressants,gene testing antidepressants,USD,1,1,3.87,0,0,0, --, --
SS - DNA Testing A,Apr-23,3/04/2023,dna testing for psychiatric drugs,swab test for medications,USD,1,1,6.22,0,0,0, --, --
SS - DNA Testing A,Mar-23,6/03/2023,dna test for medication,genetic testing for medication effectiveness,USD,2,1,6.46,0,0,0, --, --
SS - Genetic Testing TROAS,Jan-23,2/01/2023,genetic medication testing,p450 genetic testing,USD,2,2,9.96,0,0,0, --, --
SS - Pharmacogenetic,Jan-23,16/01/2023,pharmacogenetic tests,drug metabolism test,USD,3,1,2.24,0,0,0, --, --
SS - Genetic Testing - Sol8,Mar-23,27/03/2023,genetic testing for mental health medication,genetic mental health testing,USD,1,1,5.11,0,0,0, --, --
SS - Pharmacogenetic,Feb-23,6/02/2023,pharmacogenomics testing,genetic medication testing,USD,19,2,7.39,0,0,0, --, --
SS - Genetic Testing TROAS,Apr-23,24/04/2023,ssri genetic testing,genetic testing for ssri,USD,4,1,14.02,0,0,0, --, --
SS - Competitors,Feb-23,30/01/2023,genesight test,genesite test,USD,4,1,1.58,0,0,0, --, --
SS - Genetic Testing TROAS,Apr-23,10/04/2023,genetic testing for depression meds,blood test for antidepressants,USD,9,1,4.39,0,0,0, --, --
SS - Genetic Testing TROAS,Apr-23,24/04/2023,genetic test for antidepressants,mental health medication genetic testing,USD,2,1,2.91,0,0,0, --, --
SS - Genetic Testing TROAS,Jan-23,2/01/2023,genetic testing depression,genetic testing depression,USD,12,2,9.05,0,0,0, --, --
SS - Pharmacogenetic,Jan-23,16/01/2023,best pharmacogenetic testing,pharmacogenetic testing,USD,62,4,7.73,0,0,0, --, --
SS - Genetic Testing TROAS,Mar-23,13/03/2023,adhd genetic testing,genetic blood test for adhd,USD,4,1,2.29,0,0,0, --, --
SS - DNA Testing B,Jan-23,30/01/2023,dna test for depression medication,test to determine which antidepressant,USD,1,2,15.04,0,0,0, --, --
SS - Genetic Testing TROAS,Feb-23,30/01/2023,genetic testing for mental health meds,genetic swab test for medication,USD,1,1,9.28,0,0,0, --, --
SS - Competitors,Apr-23,3/04/2023,genesight psychotropic test,genesight psychotropic combinatorial pharmacogenomic test,USD,1,1,3.72,0,0,0, --, --
SS - DNA Testing A,May-23,22/05/2023,blood test for antidepressant,blood test for best antidepressant,USD,4,1,5.55,0,0,0, --, --
SS - Pharmacogenetic,May-23,8/05/2023,pharmacogenetics,pharmacogenics,USD,8,3,21.9,0,0,0, --, --
SS - Pharmacogenetic,Mar-23,6/03/2023,pharmacogenomics testing,genetic testing for medications,USD,6,1,4.23,0,0,0, --, --
SS - Genetic Testing TROAS,Mar-23,13/03/2023,genetic testing for medication efficacy,does genetic testing for medications work,USD,4,1,11.65,0,0,0, --, --
SS - Genetic Testing TROAS,Apr-23,24/04/2023,genetic testing depression,genetic testing depression,USD,9,2,18.78,0,0,0, --, --
SS - Genetic Testing - Sol8,Mar-23,20/03/2023,genetic testing for anxiety meds,blood test for anxiety medication,USD,4,1,7.02,0,0,0, --, --
SS - Genetic Testing - Sol8,Feb-23,13/02/2023,genetic testing for mental health medication,genetic testing for mental illness,USD,17,1,8.64,0,0,0, --, --
SS - Genetic Testing TROAS,Apr-23,3/04/2023,antidepressant genetic test,saliva test for antidepressants,USD,5,1,11.18,0,0,0, --, --
SS - Genetic Testing TROAS,Mar-23,27/02/2023,genetic testing for antidepressants,genetic testing for ssri response,USD,1,1,6.65,0,0,0, --, --
SS - DNA Testing A,Feb-23,20/02/2023,dna test antidepressants,antidepressant dna test,USD,5,1,6.6,0,0,0, --, --
SS - DNA Testing A,Feb-23,6/02/2023,dna testing for psychiatric drugs,dna swab test for medication,USD,1,1,16.69,0,0,0, --, --
SS - Genetic Testing TROAS,Mar-23,20/03/2023,genetic medication testing,genetic medication testing,USD,44,7,25.84,0,0,0, --, --
SS - DNA Testing A,Jan-23,9/01/2023,dna test for medication,genetic testing for medicine,USD,5,1,8.34,0,0,0, --, --
