Campaign,Ad group,Month,Week,Search keyword,Search term,Currency code,Impr.,Clicks,Avg. CPC,CTR,Cost,Conv. value,Conversions,Conv. value / cost,Cost / conv.,Value / conv.
SS - Pharmacogenetic,Pharmacogenomic,Mar-23,13/03/2023,pharmacogenomic testing,pharmacogenomic testing,USD,115,10,3.31,8.70%,33.13,0,0,0, , 
SS - DNA Testing B,mental health,Apr-23,10/04/2023,Mental Health dna test,pmdd genetic test,USD,1,1,2.06,100.00%,2.06,0,0,0, , 
SS - DNA Testing A,antidepressants,Apr-23,10/04/2023,dna test for antidepressants,dna test for antidepressants,USD,40,7,8.16,17.50%,57.09,0,0,0, , 
SS - Competitors,Genesight,Feb-23,30/01/2023,genesight test,genesight,USD,422,53,2.53,12.56%,134.17,0,0,0, , 
SS - DNA Testing A,antidepressants,Jan-23,2/01/2023,dna test antidepressants,swab for antidepressants,USD,5,3,4.98,60.00%,14.94,0,0,0, , 
SS - DNA Testing B,Anxiety,Feb-23,13/02/2023,dna test for anxiety medication,test to see which antidepressant works best for you,USD,4,1,1.17,25.00%,1.17,0,0,0, , 
SS - Competitors,Genesight,Jan-23,2/01/2023,genesight test,genesite,USD,140,9,3.61,6.43%,32.46,374.25,1,11.53,32.46,374.25
SS - DNA Testing A,medication,Apr-23,17/04/2023,dna test for medication,medication dna test,USD,1,1,6.76,100.00%,6.76,0,0,0, , 
SS - DNA Testing A,medication,Jan-23,9/01/2023,dna test for medication,dna testing for medication,USD,28,1,13.48,3.57%,13.48,0,0,0, , 
SS - Genetic Testing TROAS,ssris,Mar-23,6/03/2023,ssri genetic testing,ssri genetic testing,USD,11,2,4.98,18.18%,9.96,0,0,0, , 
SS - Genetic Testing TROAS,depression,Mar-23,13/03/2023,genetic testing depression,genetic testing for depression,USD,46,6,3.81,13.04%,22.85,0,0,0, , 
SS - Genetic Testing TROAS,medication,Feb-23,27/02/2023,genetic testing for medication,genetic testing for medication,USD,62,5,8.49,8.06%,42.47,0,0,0, , 
SS - Genetic Testing TROAS,medication,Mar-23,27/02/2023,genetic test for medication,medication test,USD,12,2,2.51,16.67%,5.01,0,0,0, , 
SS - Genetic Testing TROAS,medication,Mar-23,6/03/2023,genetic medication testing,gene site,USD,22,4,2.82,18.18%,11.27,0,0,0, , 
SS - Genetic Testing TROAS,antidepressants,Feb-23,13/02/2023,genetic testing for antidepressant response,cyp450 test at home,USD,9,1,3.11,11.11%,3.11,0,0,0, , 
SS - Genetic Testing TROAS,adhd,Mar-23,13/03/2023,genetic testing for medication adhd,adhd genetic testing for medication,USD,3,1,1.68,33.33%,1.68,0,0,0, , 
SS - DNA Testing A,Psych Meds,Jan-23,26/12/2022,dna test for psych meds,genetic testing for depression,USD,1,1,4.06,100.00%,4.06,0,0,0, , 
SS - DNA Testing A,Psych Meds,Apr-23,3/04/2023,dna testing for psychiatric drugs,psychotropic testing,USD,5,1,9.08,20.00%,9.08,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Jan-23,16/01/2023,pgx genetic testing,pgx testing,USD,100,7,1.56,7.00%,10.93,0,0,0, , 
SS - Competitors,Genesight,Jan-23,9/01/2023,genesight reviews,genesight reviews,USD,143,7,3.1,4.90%,21.67,0,0,0, , 
SS - Competitors,Genesight,May-23,15/05/2023,genesight testing,genesight testing reviews,USD,16,1,7.09,6.25%,7.09,0,0,0, , 
SS - Genetic Testing - Sol8,mental health,Jan-23,16/01/2023,genetic testing for mental health medication,genetic test for anxiety medication,USD,1,1,22.69,100.00%,22.69,0,0,0, , 
SS - Genetic Testing - Sol8,mental health,Mar-23,27/03/2023,genetic testing for mental health medication,blood test for mental health medication,USD,8,1,2.91,12.50%,2.91,0,0,0, , 
SS - Competitors,Genesight,Feb-23,27/02/2023,genesight psychotropic test,genesight dna test for antidepressants,USD,1,1,4.72,100.00%,4.72,0,0,0, , 
SS - Genetic Testing TROAS,medication,Jan-23,2/01/2023,genetic medication testing,blood test to see what medications work,USD,1,1,6.26,100.00%,6.26,0,0,0, , 
SS - Genetic Testing TROAS,antidepressants,Apr-23,24/04/2023,genetic test for antidepressants,blood test for antidepressants,USD,2,2,4.91,100.00%,9.82,0,0,0, , 
SS - Genetic Testing TROAS,adhd,May-23,1/05/2023,adhd genetic testing,adhd genetic test,USD,1,1,5,100.00%,5,0,0,0, , 
SS - DNA Testing A,antidepressants,Jan-23,9/01/2023,dna test antidepressants,test to determine best antidepressant,USD,4,2,3.88,50.00%,7.76,0,0,0, , 
SS - DNA Testing A,antidepressants,Apr-23,3/04/2023,dna test antidepressants,genetic testing for ssris,USD,1,1,9.31,100.00%,9.31,0,0,0, , 
SS - DNA Testing A,antidepressants,Mar-23,27/02/2023,dna test antidepressants,ssri dna test,USD,4,1,7.32,25.00%,7.32,0,0,0, , 
SS - DNA Testing A,medication,Mar-23,13/03/2023,dna medications,dna test for medication effectiveness,USD,3,2,12.9,66.67%,25.79,0,0,0, , 
SS - Genetic Testing TROAS,antidepressants,Apr-23,27/03/2023,genetic testing for antidepressants,genetic testing for antidepressants,USD,30,3,2.48,10.00%,7.43,0,0,0, , 
SS - DNA Testing B,mental health,Feb-23,27/02/2023,Mental Health dna test,genesite test,USD,2,1,1.36,50.00%,1.36,0,0,0, , 
SS - DNA Testing B,mental health,Feb-23,6/02/2023,Mental Health dna test,dna test for bipolar,USD,3,3,1.38,100.00%,4.14,0,0,0, , 
SS - DNA Testing B,mental health,Mar-23,20/03/2023,Mental Health dna test,mental health dna test,USD,14,2,4.42,14.29%,8.83,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Mar-23,20/03/2023,pgx genetic testing,pharmacogenetic testing,USD,8,1,3.89,12.50%,3.89,0,0,0, , 
SS - Genetic Testing TROAS,depression,Feb-23,27/02/2023,genetic testing for mental health meds,psychiatric pharmacogenomic testing,USD,3,1,9.36,33.33%,9.36,0,0,0, , 
SS - DNA Testing A,Psych Meds,Jan-23,2/01/2023,dna test for psych meds,gene medication test,USD,1,1,2.73,100.00%,2.73,0,0,0, , 
SS - Competitors,Genesight,Jan-23,16/01/2023,genesight test,genesight,USD,568,44,3,7.75%,131.92,374.25,1,2.84,131.92,374.25
SS - Genetic Testing TROAS,depression,Jan-23,16/01/2023,genetic testing for depression meds,gene testing for depression,USD,4,1,2.95,25.00%,2.95,0,0,0, , 
SS - DNA Testing A,antidepressants,Feb-23,6/02/2023,dna test for antidepressants,gene testing for depression,USD,3,1,7.53,33.33%,7.53,0,0,0, , 
SS - Pharmacogenetic,Pharmacogenetic,Jan-23,26/12/2022,dna pharmacogenetic testing,pharmacogenetic testing,USD,22,2,1.77,9.09%,3.54,0,0,0, , 
